"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (Yeast-biofilm-secretion-rate)"
"12/20/2024 11:18:30:244 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"59","true","0.59","34","53","36","0.59","0.59","0","53","36","0.9","0.2","0.02","1403","455","1404","1"
"55","true","0.59","34","53","36","0.55","0.59","0","53","36","0.9","0.2","0.02","1779","587","1780","1"
"35","true","0.59","34","53","36","0.35","0.59","0","53","36","0.9","0.2","0.02","2443","798","2444","1"
"43","true","0.59","34","53","36","0.43","0.59","0","53","36","0.9","0.2","0.02","3055","1003","3056","1"
"63","true","0.59","34","53","36","0.63","0.59","0","53","36","0.9","0.2","0.02","1484","494","1485","2"
"66","true","0.59","34","53","36","0.66","0.59","0","53","36","0.9","0.2","0.02","1088","310","1089","1"
"47","true","0.59","34","53","36","0.47","0.59","0","53","36","0.9","0.2","0.02","2777","950","2778","1"
"61","true","0.59","34","53","36","0.61","0.59","0","53","36","0.9","0.2","0.02","2254","719","2255","1"
"65","true","0.59","34","53","36","0.65","0.59","0","53","36","0.9","0.2","0.02","1823","605","1824","1"
"49","true","0.59","34","53","36","0.49","0.59","0","53","36","0.9","0.2","0.02","2999","1004","3000","1"
"68","true","0.59","34","53","36","0.68","0.59","0","53","36","0.9","0.2","0.02","1240","400","1241","2"
"62","true","0.59","34","53","36","0.62","0.59","0","53","36","0.9","0.2","0.02","2409","769","2410","1"
"72","true","0.59","34","53","36","0.72","0.59","0","53","36","0.9","0.2","0.02","652","205","653","1"
"69","true","0.59","34","53","36","0.69","0.59","0","53","36","0.9","0.2","0.02","1599","504","1600","1"
"71","true","0.59","34","53","36","0.71","0.59","0","53","36","0.9","0.2","0.02","1805","568","1806","1"
"70","true","0.59","34","53","36","0.7","0.59","0","53","36","0.9","0.2","0.02","1953","636","1954","1"
"77","true","0.59","34","53","36","0.77","0.59","0","53","36","0.9","0.2","0.02","1060","350","1061","1"
"74","true","0.59","34","53","36","0.74","0.59","0","53","36","0.9","0.2","0.02","1379","475","1380","2"
"81","true","0.59","34","53","36","0.81","0.59","0","53","36","0.9","0.2","0.02","775","233","776","1"
"76","true","0.59","34","53","36","0.76","0.59","0","53","36","0.9","0.2","0.02","1488","480","1489","1"
"82","true","0.59","34","53","36","0.82","0.59","0","53","36","0.9","0.2","0.02","675","191","676","2"
"73","true","0.59","34","53","36","0.73","0.59","0","53","36","0.9","0.2","0.02","1867","622","1868","1"
"83","true","0.59","34","53","36","0.83","0.59","0","53","36","0.9","0.2","0.02","831","254","832","1"
"80","true","0.59","34","53","36","0.8","0.59","0","53","36","0.9","0.2","0.02","1468","444","1469","1"
"84","true","0.59","34","53","36","0.84","0.59","0","53","36","0.9","0.2","0.02","1260","406","1261","1"
"78","true","0.59","34","53","36","0.78","0.59","0","53","36","0.9","0.2","0.02","2029","660","2030","2"
"64","true","0.59","34","53","36","0.64","0.59","0","53","36","0.9","0.2","0.02","3447","1175","3448","1"
"86","true","0.59","34","53","36","0.86","0.59","0","53","36","0.9","0.2","0.02","1077","330","1078","1"
"75","true","0.59","34","53","36","0.75","0.59","0","53","36","0.9","0.2","0.02","2432","806","2433","1"
"85","true","0.59","34","53","36","0.85","0.59","0","53","36","0.9","0.2","0.02","1780","575","1781","1"
"94","true","0.59","34","53","36","0.94","0.59","0","53","36","0.9","0.2","0.02","787","257","788","1"
"89","true","0.59","34","53","36","0.89","0.59","0","53","36","0.9","0.2","0.02","2029","641","2030","1"
"91","true","0.59","34","53","36","0.91","0.59","0","53","36","0.9","0.2","0.02","2131","690","2132","1"
"95","true","0.59","34","53","36","0.95","0.59","0","53","36","0.9","0.2","0.02","1374","440","1375","1"
"90","true","0.59","34","53","36","0.9","0.59","0","53","36","0.9","0.2","0.02","2300","729","2301","1"
"79","true","0.59","34","53","36","0.79","0.59","0","53","36","0.9","0.2","0.02","3208","1052","3209","2"
"67","true","0.59","34","53","36","0.67","0.59","0","53","36","0.9","0.2","0.02","1616","547","1617","1"
"100","true","0.59","34","53","36","1","0.59","0","53","36","0.9","0.2","0.02","766","239","767","1"
"96","true","0.59","34","53","36","0.96","0.59","0","53","36","0.9","0.2","0.02","1699","547","1700","2"
"98","true","0.59","34","53","36","0.98","0.59","0","53","36","0.9","0.2","0.02","1364","427","1365","1"
"97","true","0.59","34","53","36","0.97","0.59","0","53","36","0.9","0.2","0.02","1652","538","1653","1"
"88","true","0.59","34","53","36","0.88","0.59","0","53","36","0.9","0.2","0.02","3499","1065","3500","2"
"93","true","0.59","34","53","36","0.93","0.59","0","53","36","0.9","0.2","0.02","2916","1018","2917","1"
"92","true","0.59","34","53","36","0.92","0.59","0","53","36","0.9","0.2","0.02","3152","1088","3153","1"
"87","true","0.59","34","53","36","0.87","0.59","0","53","36","0.9","0.2","0.02","3973","1295","3974","2"
"99","true","0.59","34","53","36","0.99","0.59","0","53","36","0.9","0.2","0.02","3179","1075","3180","2"
