"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/28/2024 13:32:48:557 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1712","454","1713","2"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3943","680","3944","2"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4151","648","4152","2"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3891","678","3892","2"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4266","698","4267","2"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4044","745","4045","2"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3357","588","3358","2"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1618","431","1619","2"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3808","657","3809","2"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1897","454","1898","2"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4228","690","4229","2"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2768","578","2769","2"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4347","639","4348","2"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2413","528","2414","2"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2322","510","2323","2"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1872","476","1873","2"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3930","654","3931","2"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1259","387","1260","1"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4403","672","4404","2"
