"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/14/2024 12:11:25:795 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","517","213","518","1"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","856","287","857","2"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","735","279","736","2"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1393","436","1394","2"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1267","399","1268","1"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1946","471","1947","1"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2919","569","2920","2"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3488","656","3489","1"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2469","504","2470","2"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3528","704","3529","1"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3853","619","3854","2"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3875","730","3876","2"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4198","711","4199","2"
"25","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","888","314","889","2"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3649","628","3650","2"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3466","662","3467","2"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2514","561","2515","2"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4059","622","4060","2"
"20","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2644","611","2645","2"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3271","604","3272","2"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3089","596","3090","2"
"27","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1431","418","1432","2"
"19","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3634","610","3635","2"
"29","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1701","482","1702","1"
"33","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1151","401","1152","1"
"35","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","845","316","846","2"
"21","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3095","591","3096","2"
"28","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2433","511","2434","2"
"30","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2338","505","2339","2"
"26","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3416","704","3417","2"
"24","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4077","766","4078","2"
"23","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4568","809","4569","2"
"31","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3449","638","3450","2"
"36","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2287","522","2288","2"
"43","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2207","532","2208","2"
"37","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3540","659","3541","2"
"34","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3105","567","3106","2"
"32","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3980","657","3981","1"
"42","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3291","546","3292","2"
"38","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3654","717","3655","2"
"41","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3969","725","3970","2"
"46","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2867","550","2868","2"
"45","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3153","682","3154","2"
"39","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4062","702","4063","2"
"52","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1260","414","1261","1"
"47","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3086","611","3087","2"
"40","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3999","712","4000","2"
"51","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2938","587","2939","2"
"54","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2019","509","2020","2"
"44","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4445","852","4446","2"
"48","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4360","719","4361","2"
"63","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","944","317","945","1"
"50","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3516","678","3517","2"
"53","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4072","699","4073","2"
"55","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3368","617","3369","2"
"57","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2664","573","2665","1"
"60","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1841","434","1842","2"
"58","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3330","606","3331","2"
"49","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3864","667","3865","2"
"56","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3756","700","3757","2"
"71","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","765","283","766","1"
"70","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1731","436","1732","1"
"59","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3504","667","3505","2"
"61","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2852","628","2853","2"
"69","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2318","518","2319","2"
"66","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2711","613","2712","2"
"67","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2738","607","2739","2"
"64","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3571","673","3572","2"
"62","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4254","685","4255","2"
