"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/28/2024 15:27:02:586 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1695","437","1696","2"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2936","546","2937","2"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4769","706","4770","2"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2654","524","2655","2"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3514","605","3515","2"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2809","547","2810","1"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2736","548","2737","2"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3192","536","3193","2"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2039","480","2040","2"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3140","586","3141","2"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2716","552","2717","1"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2669","536","2670","1"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3940","625","3941","2"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3700","631","3701","2"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3488","593","3489","2"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3094","581","3095","2"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1684","428","1685","1"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3153","616","3154","2"
"19","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4084","656","4085","2"
"20","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3482","602","3483","2"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2330","516","2331","1"
"21","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3698","600","3699","2"
"23","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2185","458","2186","2"
"25","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3010","556","3011","2"
"24","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4418","696","4419","2"
"26","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3074","571","3075","2"
"27","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2716","566","2717","2"
"28","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1027","325","1028","1"
"30","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2731","505","2732","2"
"29","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3526","626","3527","2"
"32","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2476","489","2477","1"
"31","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3099","576","3100","2"
"33","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3818","624","3819","2"
"34","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3741","646","3742","2"
"35","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3385","613","3386","2"
"36","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3120","575","3121","1"
"38","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2576","502","2577","1"
"37","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3645","633","3646","2"
"40","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1050","363","1051","2"
"39","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3132","587","3133","2"
"41","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2500","515","2501","1"
"43","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3503","566","3504","2"
"42","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4279","680","4280","2"
"45","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1212","363","1213","2"
"44","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3539","630","3540","2"
"46","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2881","564","2882","2"
"47","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3572","635","3573","2"
"48","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4110","711","4111","2"
"49","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3600","630","3601","2"
"50","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3401","556","3402","2"
"52","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1600","435","1601","2"
"51","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3786","650","3787","2"
"53","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3127","607","3128","2"
"54","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2554","521","2555","2"
"55","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","976","342","977","1"
"56","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3331","606","3332","1"
"58","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","720","265","721","2"
"57","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4104","701","4105","2"
"60","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2814","529","2815","1"
"59","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4307","669","4308","2"
"62","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3061","553","3062","2"
"61","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3695","619","3696","2"
"64","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2516","519","2517","2"
"63","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3308","595","3309","2"
"66","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3327","547","3328","2"
"65","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4276","660","4277","2"
"68","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1580","404","1581","1"
"67","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3081","573","3082","2"
"69","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3715","606","3716","2"
"70","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3026","574","3027","2"
"71","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3588","603","3589","2"
"73","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","899","327","900","2"
"72","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4378","683","4379","2"
"74","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3172","581","3173","1"
"75","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3487","602","3488","2"
"77","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2526","479","2527","2"
"76","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4129","673","4130","2"
"79","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1847","428","1848","2"
"78","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3987","667","3988","2"
"81","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1786","438","1787","2"
"80","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4157","659","4158","2"
"82","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3999","655","4000","2"
"84","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","731","266","732","2"
"85","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","691","262","692","2"
"83","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4096","627","4097","2"
"86","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3859","630","3860","2"
"87","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4034","640","4035","2"
"88","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3276","621","3277","2"
"89","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3737","617","3738","2"
"91","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2387","515","2388","2"
"90","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3884","653","3885","2"
"93","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","985","349","986","1"
"92","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1579","428","1580","1"
"95","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2544","493","2545","2"
"94","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4022","660","4023","2"
"97","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2905","605","2906","2"
"96","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4255","679","4256","2"
"99","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3422","574","3423","1"
"98","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3745","614","3746","1"
"100","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3615","605","3616","2"
