"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/14/2024 12:16:26:921 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2400","489","2401","2"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2541","528","2542","2"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2802","586","2803","2"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2442","525","2443","1"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1219","370","1220","2"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2170","495","2171","1"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2542","557","2543","1"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3271","701","3272","2"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3374","643","3375","2"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4086","723","4087","2"
"21","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2301","525","2302","1"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3876","651","3877","2"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4049","609","4050","2"
"19","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2038","495","2039","1"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4149","760","4150","2"
"20","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2933","609","2934","2"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2740","579","2741","2"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3749","661","3750","2"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3842","749","3843","2"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4637","812","4638","2"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4162","664","4163","2"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3989","745","3990","2"
"32","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1515","420","1516","1"
"31","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2385","491","2386","1"
"29","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2920","587","2921","1"
"27","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2462","566","2463","1"
"23","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4193","774","4194","2"
"25","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3724","685","3725","2"
