"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"NI Model Survival Curves- 10/2024"
"11/14/2024 11:50:36:940 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"10","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1528","457","1529","1"
"5","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1821","525","1822","1"
"8","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1670","476","1671","2"
"2","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1810","511","1811","1"
"4","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1710","492","1711","1"
"14","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1169","343","1170","2"
"11","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2362","729","2363","1"
"6","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2605","792","2606","1"
"1","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2352","721","2353","2"
"15","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2110","623","2111","1"
"7","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3020","902","3021","2"
"13","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2596","786","2597","1"
"16","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2245","627","2246","1"
"3","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3400","1022","3401","1"
"9","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3719","1194","3720","2"
"12","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3445","1081","3446","1"
"26","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1301","382","1302","1"
"19","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2405","732","2406","1"
"23","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1582","426","1583","1"
"27","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","996","262","997","1"
"21","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1753","517","1754","1"
"20","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2550","822","2551","1"
"25","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1915","563","1916","2"
