"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"NI Model Survival Curves- 10/2024"
"11/14/2024 11:45:44:792 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"4","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1185","345","1186","2"
"10","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1634","490","1635","1"
"13","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1411","428","1412","1"
"2","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1826","488","1827","1"
"3","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2311","683","2312","1"
"17","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1209","318","1210","1"
"5","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2323","686","2324","1"
"7","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2917","900","2918","1"
"12","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3073","959","3074","1"
"11","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3113","921","3114","2"
"14","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2528","745","2529","1"
"6","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2554","793","2555","2"
"16","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2353","739","2354","1"
"9","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3371","1026","3372","1"
"20","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2023","569","2024","2"
"1","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3235","988","3236","1"
"19","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2602","837","2603","1"
"15","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3304","1037","3305","1"
"23","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2356","723","2357","1"
"8","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3834","1170","3835","1"
"26","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1890","521","1891","1"
"22","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2745","844","2746","1"
"33","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","952","262","953","1"
"18","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3221","1010","3222","1"
"30","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1877","528","1878","1"
"36","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","693","204","694","1"
"21","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3028","966","3029","2"
"25","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3065","920","3066","2"
"38","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1379","425","1380","1"
"35","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1958","570","1959","2"
"32","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2460","742","2461","2"
"27","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2913","919","2914","2"
"29","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2755","825","2756","1"
"34","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2840","869","2841","1"
"45","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","852","253","853","1"
"28","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2747","843","2748","2"
"31","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3297","1009","3298","1"
"37","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2746","839","2747","1"
"43","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1951","580","1952","1"
"42","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2065","614","2066","2"
"24","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3921","1253","3922","1"
"39","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3115","967","3116","2"
"52","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1525","431","1526","1"
"44","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2748","810","2749","1"
"41","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2992","943","2993","1"
"46","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2813","825","2814","2"
"47","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2540","775","2541","2"
"51","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2745","826","2746","1"
"58","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1326","385","1327","2"
"40","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3975","1290","3976","2"
"53","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2915","849","2916","2"
"56","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2830","904","2831","2"
"50","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3615","1130","3616","2"
"49","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3539","1158","3540","1"
"48","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3180","1027","3181","2"
"64","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","601","168","602","2"
"54","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3251","946","3252","1"
"62","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1269","354","1270","2"
"55","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3140","996","3141","1"
"69","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1055","278","1056","1"
"57","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2984","971","2985","2"
"61","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2574","774","2575","1"
"59","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3055","927","3056","2"
"60","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2679","826","2680","1"
"63","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1936","618","1937","2"
"71","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2090","633","2091","2"
"76","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1454","410","1455","1"
"65","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2718","814","2719","1"
"75","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1886","600","1887","1"
"74","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2321","726","2322","1"
"82","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","512","159","513","2"
"67","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2535","759","2536","2"
"73","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2621","781","2622","1"
"79","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1930","545","1931","1"
"70","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3094","955","3095","2"
"72","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2841","892","2842","2"
"68","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3350","1030","3351","1"
"66","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3661","1140","3662","1"
"85","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1570","474","1571","1"
"77","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2732","844","2733","1"
"91","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","542","151","543","2"
"81","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2254","688","2255","1"
"80","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2832","880","2833","1"
"78","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3248","985","3249","2"
"83","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2972","870","2973","1"
"86","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2623","802","2624","1"
"96","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1597","465","1598","1"
"84","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2763","816","2764","2"
"88","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2946","901","2947","1"
"98","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1435","396","1436","1"
"90","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2899","891","2900","1"
"89","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3000","894","3001","2"
"87","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3137","1044","3138","1"
"93","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2874","854","2875","1"
"95","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2925","824","2926","1"
"94","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2993","925","2994","1"
"99","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2247","657","2248","2"
"92","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3369","1003","3370","1"
"97","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3958","1250","3959","2"
"100","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3940","1215","3941","1"
