"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"NI Model Survival Curves- 10/2024"
"11/30/2024 09:39:23:958 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"3","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","909","269","910","2"
"9","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1095","303","1096","2"
"8","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1594","470","1595","1"
"7","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2343","738","2344","1"
"11","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2212","650","2213","1"
"6","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2093","600","2094","1"
"5","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2846","887","2847","1"
"10","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2458","749","2459","1"
"1","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2281","681","2282","2"
"4","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3313","1047","3314","1"
"15","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1948","605","1949","1"
"2","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3447","1082","3448","1"
"14","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2546","767","2547","1"
"13","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3220","1007","3221","2"
"19","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2034","601","2035","2"
"23","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","836","228","837","1"
"12","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3883","1186","3884","1"
"17","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2945","893","2946","1"
"28","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1202","339","1203","1"
"24","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1907","592","1908","1"
"18","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3350","1048","3351","1"
"21","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2861","887","2862","1"
"16","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3674","1120","3675","2"
"27","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2013","577","2014","1"
"20","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3122","919","3123","1"
"22","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3228","983","3229","2"
"26","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2577","741","2578","1"
"29","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2010","598","2011","1"
"33","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1894","556","1895","1"
"32","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2063","593","2064","1"
"30","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2221","688","2222","1"
"37","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1684","482","1685","2"
"36","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1868","538","1869","1"
"35","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2068","628","2069","1"
"40","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","824","233","825","1"
"38","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1930","582","1931","1"
"39","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2360","685","2361","2"
"42","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2166","639","2167","2"
"46","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1792","512","1793","1"
"34","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3346","1036","3347","1"
"25","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4255","1328","4256","2"
"47","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1456","433","1457","2"
"45","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2771","855","2772","2"
"41","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2977","956","2978","1"
"44","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3004","928","3005","1"
"31","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4177","1304","4178","2"
"48","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2022","615","2023","2"
"52","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1558","473","1559","2"
"43","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3601","1177","3602","2"
"49","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2724","828","2725","1"
"50","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2907","930","2908","1"
"59","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1622","443","1623","2"
"56","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2558","773","2559","2"
"53","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2827","877","2828","1"
"62","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1543","444","1544","1"
"54","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2957","904","2958","2"
"51","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3309","1066","3310","1"
"58","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3134","958","3135","2"
"63","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1926","551","1927","1"
"55","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3186","1018","3187","1"
"64","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1980","577","1981","1"
"60","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3037","924","3038","2"
"65","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2015","599","2016","2"
"67","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1910","544","1911","1"
"69","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2273","679","2274","2"
"57","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4339","1434","4340","2"
"72","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2920","888","2921","1"
"61","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4061","1277","4062","1"
"66","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3487","1085","3488","2"
"74","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2680","828","2681","1"
"78","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","512","141","513","2"
"70","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3781","1159","3782","1"
"75","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2949","923","2950","1"
"68","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3957","1282","3958","1"
"79","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1941","555","1942","1"
"71","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3866","1202","3867","2"
"80","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2121","671","2122","1"
"77","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2783","852","2784","1"
"76","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3292","1018","3293","1"
"82","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2228","660","2229","1"
"84","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2249","659","2250","1"
"83","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2369","659","2370","2"
"73","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4329","1410","4330","2"
"86","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2087","591","2088","1"
"88","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1726","512","1727","1"
"89","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1596","430","1597","1"
"90","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1504","416","1505","1"
"81","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3591","1141","3592","1"
"98","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","965","262","966","1"
"92","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2405","731","2406","2"
"85","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3332","1020","3333","1"
